schema_namespace,schema_sha256,quiz_task_uuid,task_url,taskrun_count,redundancy,article_batch_name,article_number,article_filename,article_sha256,quiz_taskrun_uuid,contributor_uuid,created,finish_time,elapsed_seconds,final_queue,T1.Q1.A1,T1.Q1.A2,T1.Q1.A3,T1.Q1.A4,T1.Q1.A5,T1.Q1.A6,T1.Q1.A7,T1.Q1.A8,T1.Q1.A9,T1.Q1.A10,T1.Q1.A11,T1.Q1.A12,T1.Q1.A13,T1.Q2,T1.Q3,T1.Q4,T1.Q5.A1,T1.Q5.A2,T1.Q5.A3,T1.Q5.A4,T1.Q5.A5,T1.Q5.A6,T1.Q5.A7,T1.Q5.A8,T1.Q6,T1.Q7,T1.Q8,T1.Q9,T1.Q10,T1.Q11.A1,T1.Q11.A2,T1.Q11.A3,T1.Q11.A4,T1.Q12
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,ccb0c1a5-5b70-4d35-9d0a-0b534cd8ee58,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2018-09-04 16:35:34.362345,2018-09-04 16:36:18.594442,44.232097,"T1.Q1, T1.Q11, T1.Q12",0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,5: 50-50
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,fd0f92b8-b1a1-4fe2-8f63-e4d624370dd4,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2018-09-04 17:01:39.102932,2018-09-04 17:01:39.143194,0.040262,"T1.Q1, T1.Q10, T1.Q11, T1.Q12",0,0,0,0,1,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,0,0,,,,,Not at all,1,0,0,0,9
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,ebd10f70-a53e-4a96-a8a2-4d0e5d1436e3,e0834165-64cc-41e5-994f-9be97a16ef93,2018-09-04 18:26:20.368494,2018-09-04 18:30:20.518390,240.149896,"T1.Q1, T1.Q10, T1.Q11, T1.Q12",0,0,0,0,1,0,0,0,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,Very Mildly,1,0,0,0,9
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,15f78195-abb7-47c7-ab96-8fe0ccaa3f2a,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2018-10-19 18:07:56.200582,2018-10-19 18:07:56.247681,0.047099,"T1.Q1, T1.Q10, T1.Q11, T1.Q12",0,0,0,0,1,0,0,0,0,1,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,Mildly,1,0,0,0,9
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,bd651799-eb40-452a-81ab-9219e3d2a1d2,c2f193ad-2cdc-46b8-a5bf-c45cfbee3da7,2019-02-26 23:33:33.633002,2019-02-26 23:51:41.036873,1087.403871,"T1.Q1, T1.Q3, T1.Q10, T1.Q11, T1.Q12",0,1,0,0,1,0,0,0,0,0,0,0,0,,Minor misrepresentation,,0,0,0,0,0,0,0,0,,,,,Very Mildly,1,0,0,0,9
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,51c820c5-f48f-4ffb-b7d0-91f87fe19763,47f10cb0-4a56-4b77-ba40-5414b1332642,2019-02-27 00:07:33.113989,2019-02-27 00:09:29.133745,116.019756,"T1.Q1, T1.Q3, T1.Q10, T1.Q11, T1.Q12",0,1,0,0,1,0,0,0,0,0,0,0,0,,Minor misrepresentation,,0,0,0,0,0,0,0,0,,,,,Mildly,1,0,0,0,8
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,8ff0ca73-f52a-499f-bee6-8aed429c1714,f18207d6-37cb-4349-a31e-a4ff2adcf299,2019-03-02 19:24:51.628869,2019-03-02 19:25:53.671782,62.042913,"T1.Q1, T1.Q3, T1.Q10, T1.Q11, T1.Q12",0,1,0,0,1,0,0,0,0,0,0,0,0,,Minor misrepresentation,,0,0,0,0,0,0,0,0,,,,,Very Mildly,1,0,0,0,8
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,07a51958-96fa-4bc5-b4b7-6e2f06e2bd63,93b5d16a-4388-49d6-9217-d6607167f6c2,2019-03-02 22:13:02.281451,2019-03-02 22:27:05.058508,842.777057,"T1.Q1, T1.Q3, T1.Q10, T1.Q11, T1.Q12",0,1,0,0,1,0,0,0,0,0,0,0,0,,Minor misrepresentation,,0,0,0,0,0,0,0,0,,,,,Very Mildly,1,0,0,0,8
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,81e8d566-0ac5-4e3b-99be-c3a14c1ecfa8,d970aaa4-3cde-4e75-937b-ea73fb0ca0f1,2019-03-03 06:09:19.969433,2019-03-03 06:10:46.177176,86.207743,"T1.Q1, T1.Q3, T1.Q10, T1.Q11, T1.Q12",0,1,0,0,1,0,0,0,0,0,0,0,0,,Some misrepresentation,,0,0,0,0,0,0,0,0,,,,,Mildly,0,1,0,0,8
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,936a7155-5aa4-4c75-9a66-75b840257ede,fb0bfdce-316c-46b8-a7f3-097457d92afb,2019-03-03 18:13:18.464751,2019-03-03 18:29:59.282062,1000.817311,"T1.Q1, T1.Q3, T1.Q11, T1.Q12",0,1,0,0,0,0,0,0,0,0,0,0,0,,Considerable misrepresentation,,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,8
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,0406ec7d-b9f2-4074-8f08-2085330ea4aa,bcf4ec10-b869-4e0f-89a7-133f825c910d,2019-03-03 22:54:26.032569,2019-03-04 01:02:25.960823,7679.928254,"T1.Q1, T1.Q3, T1.Q10, T1.Q11, T1.Q12",0,1,0,0,1,0,0,0,0,0,0,0,0,,Some misrepresentation,,0,0,0,0,0,0,0,0,,,,,Somewhat,0,0,1,0,6
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,f4a1a401-9129-452a-949e-1a04e2b63d44,ec3b204f-2b04-4dc9-9e9b-cdf35364e6bc,2019-03-05 00:29:34.271361,2019-03-05 00:31:08.993039,94.721678,"T1.Q1, T1.Q10, T1.Q11, T1.Q12",0,0,0,0,1,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,0,0,,,,,Very Mildly,1,0,0,0,6
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,41a1e692-f96b-487a-9361-2f12b743e404,a2f9116f-94e4-448c-b513-8a7ab93d3d2f,2019-03-05 04:59:41.649035,2019-03-05 05:00:28.202880,46.553845,"T1.Q1, T1.Q10, T1.Q11, T1.Q12",0,0,0,0,1,0,0,0,0,0,1,0,0,,,,0,0,0,0,0,0,0,0,,,,,Very Mildly,1,0,0,0,8
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,05d3e921-cbf6-4f3e-92e0-521a86d3ee16,a2c02f27-95a3-4b31-9f31-bd024c0c0517,2019-03-05 09:07:42.048419,2019-03-05 09:29:16.052657,1294.004238,"T1.Q1, T1.Q3, T1.Q11, T1.Q12",0,1,0,0,0,0,0,0,0,0,1,0,0,,Minor misrepresentation,,0,0,0,0,0,0,0,0,,,,,,0,1,0,0,6
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,adbbb017-8b34-4484-8294-f852d39d802b,7ae543c3-9854-4453-962d-01eb3b9805a5,2019-03-05 15:16:51.602921,2019-03-05 15:19:14.552546,142.949625,"T1.Q1, T1.Q2, T1.Q11, T1.Q12",1,0,0,0,0,0,0,0,0,0,0,0,0,MILDLY excessive/inappropriate,,,0,0,0,0,0,0,0,0,,,,,,1,0,0,0,8
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,39fcb376-ec3f-4474-88e2-a0d25610fa65,7b50486e-3d5e-474f-a40a-09c738f19bda,2019-03-05 22:50:07.220046,2019-03-05 22:51:07.057797,59.837751,"T1.Q1, T1.Q4, T1.Q5, T1.Q11, T1.Q12",0,0,0,1,0,0,0,0,0,0,0,0,0,,,Very mildly inappropriate,0,0,1,0,0,0,0,0,,,,,,1,0,0,0,6
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,66a3d733-bbd2-49bb-82a3-ff3a7af11986,https://pe.goodlylabs.org/project/Demo1Lang2/task/1310,17,21,SSSPETest2-Demo1,1737,1737SSSArticle.txt,c35844f62ee12d09c0450281624c89e2533bbb621f23dd1b7062a6ee26ae2b97,4e46c2cc-6a24-4a72-94c8-8267e5795045,3a6b0929-a821-4616-8599-9b860526d09d,2019-03-05 22:51:35.923722,2019-03-05 22:53:46.382069,130.458347,"T1.Q1, T1.Q10, T1.Q11, T1.Q12",0,0,0,0,1,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,,,Very Mildly,0,0,1,0,8
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,8614287c-a0ac-4122-8f05-6507ce2460df,https://pe.goodlylabs.org/project/Demo1Lang2/task/1311,17,21,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,959dabfc-e3fc-44f4-8b83-d4e2a3634965,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2018-09-04 18:32:15.193629,2018-09-04 18:34:19.297289,124.10366,"T1.Q1, T1.Q3, T1.Q7, T1.Q8, T1.Q11, T1.Q12",0,1,0,0,0,1,0,0,0,0,0,0,1,,Some misrepresentation,,0,0,0,0,0,0,0,0,,Very inappropriate,Not at all,,,1,0,0,0,8
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,8614287c-a0ac-4122-8f05-6507ce2460df,https://pe.goodlylabs.org/project/Demo1Lang2/task/1311,17,21,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,90f2e028-6a74-4a6a-8186-382ef261ca8b,f9143626-bfe0-4e69-b652-6d1525ab4eb0,2018-09-04 18:37:23.468353,2018-09-04 18:39:12.214626,108.746273,"T1.Q1, T1.Q3, T1.Q7, T1.Q8, T1.Q9, T1.Q10, T1.Q11, T1.Q12",0,1,0,0,1,1,0,1,0,0,0,0,0,,Considerable misrepresentation,,0,0,0,0,0,0,0,0,,Somewhat inappropriate,Not at all,Slightly,Somewhat,0,1,0,0,6
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,8614287c-a0ac-4122-8f05-6507ce2460df,https://pe.goodlylabs.org/project/Demo1Lang2/task/1311,17,21,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,c35ba232-aac0-47c6-bb84-3bfffcf15f50,e0834165-64cc-41e5-994f-9be97a16ef93,2018-10-20 00:01:22.520736,2018-10-20 00:57:21.745359,3359.224623,"T1.Q1, T1.Q3, T1.Q7, T1.Q8, T1.Q10, T1.Q11, T1.Q12",0,1,0,0,1,1,0,0,0,1,0,0,0,,Some misrepresentation,,0,0,0,0,0,0,0,0,,Mildly inappropriate,Considerably,,Somewhat,1,0,0,0,9
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,8614287c-a0ac-4122-8f05-6507ce2460df,https://pe.goodlylabs.org/project/Demo1Lang2/task/1311,17,21,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ebdea1e0-db08-414b-99ed-4be8fd243332,ec3b204f-2b04-4dc9-9e9b-cdf35364e6bc,2019-02-26 23:54:43.244356,2019-02-27 00:00:02.418359,319.174003,"T1.Q1, T1.Q3, T1.Q7, T1.Q8, T1.Q10, T1.Q11, T1.Q12",0,1,0,0,0,1,0,0,0,1,0,0,0,,Some misrepresentation,,0,0,0,0,0,0,0,0,,Mildly inappropriate,Slightly,,Very Mildly,1,0,0,0,7
Language_2018_09_04,790464e4ab80caa9bb7db172bd2709ac818ba19a667245731fd32bce14f6e4d2,8614287c-a0ac-4122-8f05-6507ce2460df,https://pe.goodlylabs.org/project/Demo1Lang2/task/1311,17,21,Demo2,1712,1712SSSArticle12.txt,38428e24cdfa0392f3f5e1efda3253ffab6d7ed3051b1dee9f209f871ca91e2c,ce551ca8-919f-4fcf-87db-8d54cb2a4a68,3a6b0929-a821-4616-8599-9b860526d09d,2019-02-26 23:54:52.015310,2019-02-27 00:00:05.325604,313.310294,"T1.Q1, T1.Q3, T1.Q7, T1.Q8, T1.Q11, T1.Q12",0,1,0,0,0,1,0,0,0,0,1,0,0,,Minor misrepresentation,,0,0,0,0,0,0,0,0,,Mildly inappropriate,Somewhat,,,1,0,0,0,6
